"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "HTML", "XML", "Markdown", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/game.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/google.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/guaranteed.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/head-phone.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/heart.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/instagram-color.svg", "XML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 1, 34
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/instagram.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/key.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/laptop.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/location-add.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/location.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/logo.svg", "XML", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 23
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/logout.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/mail.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/master-card.svg", "XML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 17
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/message-question.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/minus.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/mobile.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/paypal.svg", "XML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/phone.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/plus.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/search.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/sms.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/star.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/tablet.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/tick.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/trash.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/truck.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/twitter-color.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/twitter.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/user-circle.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/user.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/visa.svg", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 15
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/watch-status.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/youtube-color.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/home/mcs/Workspace/react/tech-heim/src/assets/icons/youtube.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/home/mcs/Workspace/react/tech-heim/src/assets/logos/apple.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/mcs/Workspace/react/tech-heim/src/assets/logos/cannon.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"/home/mcs/Workspace/react/tech-heim/src/assets/logos/huawei.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"/home/mcs/Workspace/react/tech-heim/src/assets/logos/lenovo.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"/home/mcs/Workspace/react/tech-heim/src/assets/logos/paypal.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"/home/mcs/Workspace/react/tech-heim/src/assets/logos/samsung.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"/home/mcs/Workspace/react/tech-heim/src/assets/logos/shopee-pay.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/mcs/Workspace/react/tech-heim/src/assets/logos/sony.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"/home/mcs/Workspace/react/tech-heim/src/components/Cart/Cart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
"/home/mcs/Workspace/react/tech-heim/src/components/Cart/components/CartItemWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 4, 61
"/home/mcs/Workspace/react/tech-heim/src/components/Cart/components/CartSummary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 4, 33
"/home/mcs/Workspace/react/tech-heim/src/components/Cart/components/CartWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"/home/mcs/Workspace/react/tech-heim/src/components/Cart/components/ItemWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"/home/mcs/Workspace/react/tech-heim/src/components/Cart/components/TotalItemCount.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"/home/mcs/Workspace/react/tech-heim/src/components/Cart/components/index.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/mcs/Workspace/react/tech-heim/src/components/Cart/index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/mcs/Workspace/react/tech-heim/src/components/Elements/AccountSidebar/AccountSideMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"/home/mcs/Workspace/react/tech-heim/src/components/Elements/AccountSidebar/MenuItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"/home/mcs/Workspace/react/tech-heim/src/components/Elements/AccountSidebar/index.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/mcs/Workspace/react/tech-heim/src/components/Elements/Button/Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 5, 56
"/home/mcs/Workspace/react/tech-heim/src/components/Elements/Button/index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/mcs/Workspace/react/tech-heim/src/components/Elements/Carousel/Carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 2, 5, 24
"/home/mcs/Workspace/react/tech-heim/src/components/Elements/Carousel/SwiperButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 4, 21
